"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"org.apache.fop.layoutmgr.FlowLayoutManager";"0.0";"0.0 ms";"0.0 ms";"4598.212 ms";"4598.212 ms";"184"
"org.apache.fop.layoutmgr.inline.AlignmentContext";"0.0";"0.0 ms";"0.0 ms";"2810.042 ms";"2810.042 ms";"167"
"org.dacapo.harness.TeeOutputStream";"0.0";"0.0 ms";"0.0 ms";"1127.076 ms";"1127.076 ms";"167"
"sun.nio.cs.StreamEncoder";"0.0";"0.0 ms";"0.0 ms";"347.534 ms";"347.534 ms";"162"
"org.dacapo.harness.Benchmark";"0.0";"0.0 ms";"0.0 ms";"24184.863 ms";"24184.863 ms";"157"
"java.text.NumberFormat";"0.0";"0.0 ms";"0.0 ms";"3423.676 ms";"3423.676 ms";"152"
"java.lang.reflect.Method";"0.0";"0.0 ms";"0.0 ms";"48401.202 ms";"48401.202 ms";"143"
"org.apache.fop.layoutmgr.inline.BasicScaledBaselineTable";"0.0";"0.0 ms";"0.0 ms";"2810.042 ms";"2810.042 ms";"143"
"sun.reflect.DelegatingMethodAccessorImpl";"0.0";"0.0 ms";"0.0 ms";"48381.611 ms";"48381.611 ms";"142"
"org.dacapo.harness.Callback";"0.0";"0.0 ms";"0.0 ms";"351.439 ms";"351.439 ms";"109"
"org.apache.xerces.jaxp.SAXParserImpl$JAXPSAXParser";"0.0";"0.0 ms";"0.0 ms";"18809.855 ms";"18809.855 ms";"103"
"java.io.FilterOutputStream";"0.0";"0.0 ms";"0.0 ms";"3556.499 ms";"3556.499 ms";"103"
"org.apache.fop.fo.ElementMappingRegistry";"0.0";"0.0 ms";"0.0 ms";"415.877 ms";"415.877 ms";"96"
"org.apache.xerces.parsers.XMLParser";"0.0";"0.0 ms";"0.0 ms";"18685.855 ms";"18685.855 ms";"96"
"org.apache.fop.fo.pagination.PageSequence";"0.0";"0.0 ms";"0.0 ms";"12467.577 ms";"12467.577 ms";"96"
"org.apache.fop.area.AreaTreeHandler";"0.0";"0.0 ms";"0.0 ms";"12467.577 ms";"12467.577 ms";"96"
"org.apache.fop.cli.Main";"0.0";"0.0 ms";"0.0 ms";"22122.525 ms";"22122.525 ms";"95"
"sun.reflect.GeneratedMethodAccessor31";"0.0";"0.0 ms";"0.0 ms";"22122.525 ms";"22122.525 ms";"95"
"org.apache.fop.fo.flow.Block";"0.0";"0.0 ms";"0.0 ms";"2113.696 ms";"2113.696 ms";"95"
"org.dacapo.harness.TeePrintStream";"0.0";"0.0 ms";"0.0 ms";"1127.076 ms";"1127.076 ms";"89"
"org.apache.fop.layoutmgr.list.ListItemLayoutManager";"0.0";"0.0 ms";"0.0 ms";"1423.175 ms";"1423.175 ms";"68"
"org.apache.fop.layoutmgr.list.ListBlockLayoutManager";"0.0";"0.0 ms";"0.0 ms";"1423.175 ms";"1423.175 ms";"67"
"java.io.FileDescriptor";"0.0";"0.0 ms";"0.0 ms";"2694.644 ms";"2694.644 ms";"61"
"java.io.FileOutputStream$1";"0.0";"0.0 ms";"0.0 ms";"2694.644 ms";"2694.644 ms";"61"
"org.apache.commons.io.IOUtils";"0.0";"0.0 ms";"0.0 ms";"2694.644 ms";"2694.644 ms";"61"
"java.io.OutputStreamWriter";"0.0";"0.0 ms";"0.0 ms";"347.534 ms";"347.534 ms";"54"
"org.apache.fop.apps.FopFactory";"0.0";"0.0 ms";"0.0 ms";"455.62 ms";"455.62 ms";"52"
"sun.net.www.protocol.jar.JarFileFactory";"0.0";"0.0 ms";"0.0 ms";"294.261 ms";"294.261 ms";"51"
"org.apache.fop.layoutmgr.table.TableContentLayoutManager";"0.0";"0.0 ms";"0.0 ms";"482.037 ms";"482.037 ms";"43"
"javax.xml.parsers.FactoryFinder";"0.0";"0.0 ms";"0.0 ms";"333.673 ms";"333.673 ms";"39"
"org.apache.fop.fo.extensions.svg.SVGElementMapping";"0.0";"0.0 ms";"0.0 ms";"313.223 ms";"313.223 ms";"36"
"org.apache.fop.layoutmgr.table.RowGroupLayoutManager";"0.0";"0.0 ms";"0.0 ms";"421.317 ms";"421.317 ms";"34"
